Gender,Height,Weight,Age,Bmi,Bmi_class,Goals,Injury,Current_fitness_level,Intensity_level,Bmi_class_Normal weight,Bmi_class_Obese,Bmi_class_Overweight,Bmi_class_Underweight,Goals_Maintain,Goals_Weight gain,Goals_Weight loss,Current_fitness_level_Advance,Current_fitness_level_Beginner,Current_fitness_level_Intermediate
0,1.7637653,89.67411411,50,28.82607463408448,Overweight,Weight loss,0,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.680191312,67.65241089,48,23.96435853310983,Normal weight,Maintain,0,Advance,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1.91023555,103.7468393,42,28.43158218152715,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.724490636,73.47240447,37,24.70600766916414,Normal weight,Maintain,0,Intermediate,6,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.730861895,87.23082838,32,29.11690186312834,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.754880148,83.64407003,20,27.16065473436349,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.849145124,93.79963239,26,27.43210554340332,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.712502979,79.46209633,47,27.09551106517444,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.73981243,69.99666164,48,23.12450627556364,Normal weight,Maintain,0,Intermediate,5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.742903494,85.03711708,32,27.99379947161783,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.880462475,96.55792532,22,27.30603125229738,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.816820321,88.44999693,45,26.79624035198819,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.757179606,93.05379653,32,30.13712284781105,Obese,Weight loss,0,Beginner,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.767264475,92.59144013,31,29.64611193261432,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.78818717,87.48458734,21,27.35933886581375,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.754538257,89.56382884,32,29.09423663375744,Overweight,Weight loss,0,Advance,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1.706718905,83.36098559,46,28.61797121375582,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.671509161,74.30921763,31,26.59654149938084,Overweight,Weight loss,0,Advance,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1.633329639,73.97188986,48,27.72803083599744,Overweight,Weight loss,1,Beginner,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.726551593,78.06603057,21,26.1880388357533,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.833615087,88.0024512,39,26.17450165154905,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.657870092,76.4706332,49,27.82234248904322,Overweight,Weight loss,1,Beginner,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.678693863,73.10359755,25,25.94153942067979,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.714765596,74.6758627,50,25.39631619072928,Overweight,Weight loss,1,Beginner,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.780665132,85.67904905,24,27.02154197677548,Overweight,Weight loss,0,Advance,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1.733600113,84.83471753,50,28.22771766118211,Overweight,Weight loss,0,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.833190478,94.81671809,34,28.21432946622975,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.757171898,87.08133125,49,28.20308144035168,Overweight,Weight loss,0,Intermediate,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.85091085,95.84693733,37,27.97739262199033,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.645480899,75.10731346,32,27.73936641104558,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.782665732,91.1890785,38,28.69478629572719,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.739686316,78.65032215,33,25.98714747363151,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.710206525,82.27105637,43,28.12871906568395,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.701573383,76.97855211,33,26.58694096675745,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.689091946,74.06327814,50,25.95950149552811,Overweight,Weight loss,0,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.736171111,86.03637639,49,28.5428319021898,Overweight,Weight loss,1,Beginner,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.797674856,87.13145004,41,26.96203409809248,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.808888079,89.88592477,47,27.47060963982552,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.778343037,95.02335594,27,30.04687337142104,Obese,Weight loss,0,Beginner,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.813644456,90.14049554,46,27.40410582322444,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.766624463,89.83198352,28,28.78342758217221,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.874994528,88.56717106,24,25.19258681205392,Overweight,Weight loss,0,Advance,9,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1.701724225,74.80421905,46,25.83138727814828,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.814032662,81.57093077,29,24.78821265098394,Normal weight,Maintain,0,Intermediate,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.658097542,70.40835406,38,25.60967345738333,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.734167932,83.6822636,35,27.82602155590101,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.848244093,100.0807444,40,29.2975883942777,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.729727706,83.13499107,42,27.78614967963931,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.749979834,89.09356566,40,29.09244702764824,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.759957073,83.71682916,37,27.02767080107746,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.791293485,94.11920114,45,29.33220689394622,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.76946216,80.36323299,45,25.66698404415578,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.716923262,73.97188309,24,25.09371175506974,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.841709941,98.05815425,31,28.90954454641797,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.809829454,92.81428291,38,28.33606303403604,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.823956995,91.12044046,28,27.38965876530659,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.835030873,100.1822086,39,29.75115641196962,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.689424121,89.09290718,37,31.21517322852105,Obese,Weight loss,1,Beginner,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.677140818,76.48109299,25,27.1903644077877,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.716463143,82.28240953,48,27.92788426836437,Overweight,Weight loss,0,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.733466309,90.09463643,39,29.98251961530445,Obese,Weight loss,1,Beginner,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.875187376,107.8987464,35,30.68506571502342,Obese,Weight loss,0,Beginner,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.772986141,78.47676005,45,24.96493174459663,Overweight,Maintain,0,Beginner,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.675376626,72.87252455,34,25.96204575790248,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.805410657,85.53420366,25,26.24144904574077,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.691546775,94.4878431,37,33.02234515158342,Obese,Weight loss,0,Beginner,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.751372494,87.7256773,34,28.60024020288009,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.733412796,78.96131238,35,26.27909237706155,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.836851032,89.50956429,30,26.52904215908705,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.824115328,91.4379441,39,27.48032516828009,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.657024372,82.09159784,39,29.89791594016884,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.794273053,82.59523174,49,25.65534778991348,Overweight,Weight loss,0,Intermediate,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.644194199,80.5212079,25,29.78544259886284,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.704433609,74.81840394,23,25.75421167351889,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.653987424,75.15515292,47,27.47225801226054,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.821214987,87.57104923,42,26.40207875596714,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.697558502,81.94280588,43,28.43553023007756,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.688373768,78.3554299,40,27.48728882097791,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.763056292,80.48554024,50,25.89318686771078,Overweight,Weight loss,0,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.779328867,91.07425728,46,28.76624592885649,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.695290949,76.07246047,24,26.46908791780695,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.683371326,70.02069151,23,24.7096472138684,Normal weight,Maintain,0,Intermediate,7,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
0,1.73554605,80.71869778,31,26.79796798381676,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.77993112,83.41898275,45,26.33046307020927,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.745821391,81.27201001,38,26.66498722065447,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.715927134,71.91291945,36,24.42357513850037,Normal weight,Maintain,1,Beginner,3,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0,1.682845632,75.51180573,28,26.66406111813296,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.757231463,77.9971327,44,25.25926425099054,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.7172747,79.0767267,28,26.81446525548453,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.760039066,85.14528429,49,27.48628116792361,Overweight,Weight loss,1,Beginner,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.732046838,91.37776072,31,30.45939318877664,Obese,Weight loss,1,Beginner,3,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.818823617,92.93742047,40,28.09373261482474,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.757603696,81.03652901,39,26.23245379119166,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.708457226,74.38296043,43,25.48386168212008,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.871607656,101.2562378,34,28.90627705739215,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.766248794,92.04458334,34,29.50492258643488,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.73511709,85.89196626,43,28.5295531881436,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.720573113,80.80297305,34,27.29487290590232,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.821330013,101.2695398,27,30.52822458402249,Obese,Weight loss,0,Beginner,5,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.616262753,75.74998034,46,28.99736899995803,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.745521932,81.84520726,41,26.8622652292749,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.700516679,74.57557625,43,25.78901922960889,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.592760725,68.01343239,35,26.80980260702484,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.835367257,87.48764923,41,25.9717245431038,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.80108339,91.55736903,31,28.22446134104104,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.717293462,81.5728009,46,27.66026531993858,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.798363194,89.10100892,38,27.55039378032029,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.760344654,85.05743741,20,27.44839044876284,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.682572983,77.86537854,42,27.50404544133873,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.71430513,86.93859627,49,29.58260224283517,Overweight,Weight loss,1,Beginner,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.67148205,75.21571328,41,26.9218651257383,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.814673753,84.20078972,41,25.56931239884469,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.738999386,80.85342437,29,26.73619258783472,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.625296536,68.47122506,47,25.92047039422147,Overweight,Weight loss,0,Beginner,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.803451808,95.20604237,45,29.27220440945225,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.730752456,78.98313122,46,26.36722552659421,Overweight,Weight loss,0,Intermediate,6,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.737246641,81.57776739,31,27.03017479580786,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.729647441,76.07580102,27,25.42912148027973,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.730774457,83.01345142,26,27.7119774119042,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.749049792,76.89651736,32,25.13635635874732,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.680184215,78.6538198,40,27.86159777957857,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.681636577,82.03607919,26,29.00952418365407,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.712779279,83.22400583,29,28.36911679972589,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.764569622,93.41401822,40,30.00091199794974,Obese,Weight loss,0,Beginner,4,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.791106418,83.33779827,24,25.97761298218996,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.811998375,91.58934035,40,27.89518997238794,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.803453004,98.01364841,43,30.13539555233531,Obese,Weight loss,1,Beginner,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.681542995,72.28586111,27,25.56450609555241,Overweight,Weight loss,0,Intermediate,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.842603684,95.39066878,48,28.0958401513081,Overweight,Weight loss,0,Advance,7,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
0,1.713978963,81.00605449,43,27.57442756512652,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.659903748,66.54866106,32,24.15313511791925,Normal weight,Maintain,0,Advance,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1.799442784,88.86032425,30,27.44301413606821,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.776440824,77.17725797,20,24.45613676317437,Normal weight,Maintain,0,Advance,9,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
0,1.644394602,76.94061411,32,28.45401547834089,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.760436954,89.96766152,39,29.02989596161983,Overweight,Weight loss,1,Beginner,2,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.748500454,81.59080132,34,26.6876110565391,Overweight,Weight loss,0,Beginner,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.573211157,66.78625238,48,26.98441695940876,Overweight,Weight loss,0,Intermediate,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.742274207,80.26496649,29,26.4419216568722,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.656555133,84.11237568,45,30.65124435556027,Obese,Weight loss,0,Intermediate,6,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
0,1.63407793,80.49605548,47,30.14595666302099,Obese,Weight loss,1,Beginner,2,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
0,1.746225723,77.01926414,36,25.25797925599148,Overweight,Weight loss,1,Beginner,3,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
